sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/fishery/fishtech/search/en,1,57,57,57,0,0,17.54385965,1339.226974,78168
/fishery/search/en,1,55,55,55,0,0,18.18181818,368.7677557,20769
/fishery/introsp/351/en,1,654,654,654,0,0,1.529051988,29.16547209,19532
/fishery/vesseltype/10/en,1,351,351,351,0,0,2.849002849,70.11496172,25201
/fishery/countryprofiles/search/en,1,85,85,85,0,0,11.76470588,632.3988971,55044
/fishery/statistics/global-aquaculture-production/query/en,1,35,35,35,0,0,28.57142857,401.9810268,14407
/fishery/species/2497/en,1,232,232,232,0,0,4.310344828,140.8986059,33473
/fishery/psm/USA_1/en,1,221,221,221,0,0,4.524886878,101.4917986,22968
/fishery/area/Area31/en,1,214,214,214,0,0,4.672897196,84.99744451,18626
/fishery/psm/AUS_4/en,1,177,177,177,0,0,5.649717514,135.5435646,24567
/fishery/legalframework/nalo_cuba/fr,1,311,311,311,0,0,3.215434084,211.5780748,67380
/fishery/cwp/handbook/M/en,1,194,194,194,0,0,5.154639175,101.9954091,20262
/fishery/psm/NZL_1/en,1,245,245,245,0,0,4.081632653,81.89174107,20545
/figis/scripts/openlayers/OpenLayers.js,2,31,31,31,0,0,0.026788465,8.898767019,340159
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=F1F85FF4E5BADB51B512263D0DA96CE5,1,4,4,4,0,0,250,222.9003906,913
/fishery/psm/AUS_1/en,1,157,157,157,0,0,6.369426752,138.6532146,22291
/fishery/fishtech/1005/en,1,232,232,232,0,0,4.310344828,107.1903623,25465
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=3EDA1EF8340D222621BFD7BAAD53E615,1,4,4,4,0,0,250,222.9003906,913
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=D93AA5EAED64BAFA7D1035E6C2831749,1,4,4,4,0,0,250,222.9003906,913
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=C4436B4CF48D78E98613F76B9FE942F2,1,6,6,6,0,0,166.6666667,148.6002604,913
/figis/scripts/openlayers/theme/default/style.css,1,36,36,36,0,0,27.77777778,105.6315104,3894
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=C2547191C6612CC101A5496B23FC80CE,1,3,3,3,0,0,333.3333333,297.2005208,913
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=BDB92013B7BEBBE154931F0975B5CC52,1,4,4,4,0,0,250,222.9003906,913
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=2765234B10A6EF001CB68868915F1B9A,1,3,3,3,0,0,333.3333333,297.2005208,913
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=92A0C324709566455A67BD70D9245B81,1,3,3,3,0,0,333.3333333,297.2005208,913
/figis/servlet/ServerFileServlet,5,30,15,57,18.0044439,0,0.007912607,0.129881114,16808.4
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=8643D27BE62AE1CC22E46DC68D72792D,1,4,4,4,0,0,250,222.9003906,913
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=FA86019425C8E34D58EEAA672B8A7DB2,1,3,3,3,0,0,333.3333333,297.2005208,913
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=4BAC8CFAFD2DDD9CBF684C331AC8DFEA,1,3,3,3,0,0,333.3333333,297.2005208,913
/fishery/species/3393/en,2,195,134,256,61,0,0.003191187,0.090565519,29061
/fishery/species/2153/en,1,554,554,554,0,0,1.805054152,53.29140343,30232
/fi/website/FIRetrieveAction.do,2,433,172,694,261,0,0.001215167,0.032410788,27312
/fishery/rfb/ccamlr/en,1,862,862,862,0,0,1.160092807,25.11193083,22166
/fishery/equipment/backdownmanoeuvre/en,1,487,487,487,0,0,2.05338809,41.51694045,20704
/fishery/geartype/203/en,1,259,259,259,0,0,3.861003861,84.94208494,22528
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=E0A7228878015265C433175FB0044CEC,1,4,4,4,0,0,250,222.9003906,913
/fishery/culturedspecies/Lates_calcarifer/en,1,253,253,253,0,0,3.95256917,306.026896,79283
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=54C6847265C56B488520B9047983F986,1,4,4,4,0,0,250,222.9003906,913
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=6F07179758C213CC56F5AE7019A9A508,1,2,2,2,0,0,500,445.8007813,913
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=BBA139A1A017DD35BAD9082052D4630C,1,3,3,3,0,0,333.3333333,297.2005208,913
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=00CF749C3E46FA066A3BE7B57D826B3C,1,3,3,3,0,0,333.3333333,297.2005208,913
/figis/website/html/widget-fishstat-aquaculture-quantity-per-species.html,1,19,19,19,0,0,52.63157895,145.3536184,2828
/fishery/rfb/neafc/en,1,900,900,900,0,0,1.111111111,23.33333333,21504
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=773BC86E097AA8E5B9AC8576BA29914E,1,3,3,3,0,0,333.3333333,297.2005208,913
/fishery/statistics/global-aquaculture-production/en,1,182,182,182,0,0,5.494505495,137.7167754,25666
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=42D9C05A05811887647BB1C19DEE424C,1,3,3,3,0,0,333.3333333,297.2005208,913
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=635544CBFA458DE254D13EF55F8B0C73,1,4,4,4,0,0,250,222.9003906,913
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=E62E446C8364AF00E074121D48033EAE,1,3,3,3,0,0,333.3333333,297.2005208,913
/fishery/eaf-net/eaftool/eaf_tool_51/en,1,205,205,205,0,0,4.87804878,155.0304878,32544
/fishery/countrysector/naso_bahrain/ar,1,849,849,849,0,0,1.177856302,57.36298218,49870
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=412F413D8CE84D683818D993E20FA51F,1,2,2,2,0,0,500,445.8007813,913
/fishery/countrysector/naso_bahrain/en,1,577,577,577,0,0,1.733102253,74.73326473,44156
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=801757F9AE7ECCAEF71B9F166BFFFE0C,1,3,3,3,0,0,333.3333333,297.2005208,913
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=1B0F62BBD819039C4E27EF0E9EF9826B,1,3,3,3,0,0,333.3333333,297.2005208,913
/fishery/eaf-net/en,1,211,211,211,0,0,4.739336493,88.02947275,19020
/fishery/topic/16000/ar,1,662,662,662,0,0,1.510574018,37.95022187,25726
/fishery/meetings-news/en,1,920,920,920,0,0,1.086956522,20.81245754,19607
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=F97A38B16DADFDE492AA046FD483A435,1,2,2,2,0,0,500,445.8007813,913
/fishery/en,1,856,856,856,0,0,1.168224299,27.4498485,24061
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=0389814C34541F88B2FFB08038631959,1,3,3,3,0,0,333.3333333,297.2005208,913
/fi/topic/assets/images/stock_state_pub.jpg,1,19,19,19,0,0,52.63157895,407.9461349,7937
