sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/fishery/fishtech/search/en,1,108,108,108,0.0,0.0,9.25925925925926,710.7837818287037,78607.0
/fishery/search/en,1,89,89,89,0.0,0.0,11.235955056179774,229.75553019662922,20939.0
/fishery/introsp/351/en,1,406,406,406,0.0,0.0,2.4630541871921183,47.37771320812808,19697.0
/fishery/vesseltype/10/en,1,302,302,302,0.0,0.0,3.3112582781456954,82.10885761589404,25392.0
/fishery/countryprofiles/search/en,1,85,85,85,0.0,0.0,11.76470588235294,635.5353860294117,55317.0
/fishery/statistics/global-aquaculture-production/query/en,1,85,85,85,0.0,0.0,11.76470588235294,210.06433823529412,18284.0
/firms/resource/10050/en,1,196,196,196,0.0,0.0,5.1020408163265305,45.79380580357142,9191.0
/fishery/species/2497/en,1,398,398,398,0.0,0.0,2.512562814070352,82.70110317211055,33705.0
/fishery/psm/USA_1/en,1,217,217,217,0.0,0.0,4.608294930875576,104.16366647465438,23146.0
/firms/fishery/464/en,1,3,3,3,0.0,1.0,333.3333333333333,616.2109375,1893.0
/fishery/area/Area31/en,1,285,285,285,0.0,0.0,3.5087719298245617,64.3640350877193,18784.0
/fi/website/css/FI_psm.css,10,4,4,6,0.6708203932499364,1.0,0.2547056875780036,0.12884525992715418,518.0
/fishery/psm/AUS_4/en,1,266,266,266,0.0,0.0,3.7593984962406015,90.87171052631578,24752.0
/fishery/legalframework/nalo_cuba/fr,1,352,352,352,0.0,0.0,2.840909090909091,178.863525390625,64471.0
/firms/en,1,587,587,587,0.0,0.0,1.7035775127768313,54.639254152470194,32843.0
/fishery/cwp/handbook/M/en,1,5128,5128,5128,0.0,0.0,0.19500780031201248,3.890062829075663,20427.0
/fishery/psm/NZL_1/en,1,265,265,265,0.0,0.0,3.7735849056603774,76.31928066037736,20710.0
/firms/resource/5/en,1,609,609,609,0.0,0.0,1.6420361247947455,60.45066194581281,37698.0
/favicon.ico,5,3,0,8,3.3823069050575527,1.0,0.32179173638820957,0.3967717249646029,1262.6
/fi/website/assets/images/favicon.png,104,4,3,14,1.1318006154513678,1.0,1.5226717031961465,0.7875439460988858,529.625
/fi/website/css/FI_introsp.css,1,4,4,4,0.0,1.0,250.0,127.44140625,522.0
/fi/website/css/FI_country.css,1,4,4,4,0.0,1.0,250.0,127.44140625,522.0
/figis/scripts/openlayers/OpenLayers.js,2,4,4,5,0.5,1.0,0.5659309564233164,0.29346615025466893,531.0
/fi/website/css/FIRMS_resource.css,13,5,4,10,2.0811921936105664,1.0,0.2340444684490053,0.12067917904401836,528.0
/figis/website/assets/images/templates/shared/fao_logo.gif;jsessionid=F1F85FF4E5BADB51B512263D0DA96CE5,1,8,8,8,0.0,0.0,125.0,192.2607421875,1575.0
/fi/website/css/FI_area.css,1,4,4,4,0.0,1.0,250.0,126.708984375,519.0
/fi/website/css/FI_legalframework.css,1,4,4,4,0.0,1.0,250.0,129.150390625,529.0
/fi/website/css/FIRMS_topic.css,3,8,4,14,4.109609335312652,1.0,0.0429000429000429,0.0219946509009009,525.0
/fi/website/css/FI_advanced.css,1,4,4,4,0.0,1.0,250.0,127.685546875,523.0
/fishery/psm/AUS_1/en,1,280,280,280,0.0,0.0,3.571428571428571,78.36565290178571,22469.0
/figis/tseries/scripts/tseries_check.js,15,8,7,13,1.4360439485692045,1.0,0.28225199458076167,0.40674791015919015,1475.6666666666667
/fi/website/css/FIRMS_head.css,20,6,4,9,1.949358868961792,1.0,0.2872696456528921,0.14646824413610837,522.1
/fishery/fishtech/1005/en,1,1541,1541,1541,0.0,0.0,0.6489292667099286,16.258719987021415,25656.0
/fi/website/css/FI_ontology.css,1,4,4,4,0.0,1.0,250.0,127.685546875,523.0
/figis/geoserver/tunaatlas/rest/tuna/species,1,489,489,489,0.0,0.0,2.044989775051125,1.4518628578732107,727.0
