2015/01/16 10:27:28 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_GB 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: Loading user properties from: C:\ErikProgramFiles\apache-jmeter-2.11\bin\user.properties 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: Loading system properties from: C:\ErikProgramFiles\apache-jmeter-2.11\bin\system.properties 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: Copyright (c) 1998-2014 The Apache Software Foundation 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: Version 2.11 r1554548 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: java.version=1.8.0_05 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: os.name=Windows 7 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: os.arch=amd64 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: os.version=6.1 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: Default Locale=English (United Kingdom) 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: JMeter  Locale=English (United Kingdom) 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: JMeterHome=C:\ErikProgramFiles\apache-jmeter-2.11 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: user.dir  =C:\Users\vaningen\git\figis\jmeter\sitemapBased 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: PWD       =C:\Users\vaningen\git\figis\jmeter\sitemapBased 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: IP: 168.202.54.196 Name: PC008581 FullName: PC008581.hq.un.fao.org 
2015/01/16 10:27:29 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2015/01/16 10:27:30 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2015/01/16 10:27:30 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2015/01/16 10:27:30 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2015/01/16 10:27:31 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2015/01/16 10:27:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2015/01/16 10:27:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2015/01/16 10:27:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2015/01/16 10:27:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2015/01/16 10:27:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2015/01/16 10:27:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2015/01/16 10:27:31 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.control.gui.WebServiceSamplerGui 
2015/01/16 10:27:31 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2015/01/16 10:27:31 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'C:\Program Files\Java\jre8\bin\keytool' 
2015/01/16 10:27:31 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file C:\ErikProgramFiles\apache-jmeter-2.11\bin\proxyserver.jks 
2015/01/16 10:27:32 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2015/01/16 10:27:32 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2015/01/16 10:27:32 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2015/01/16 10:27:32 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2015/01/16 10:27:50 INFO  - jmeter.services.FileServer: Default base='C:\Users\vaningen\git\figis\jmeter\sitemapBased' 
2015/01/16 10:27:50 INFO  - jmeter.gui.action.Load: Loading file: C:\Users\vaningen\git\figis\jmeter\sitemapBased\dev.jmx 
2015/01/16 10:27:50 INFO  - jmeter.services.FileServer: Set new base='C:\Users\vaningen\git\figis\jmeter\sitemapBased' 
